,11/07/18,14:25:21,14:25:32,0:0:11,4097,TP2-L3-G3-20182,E:\Mes Projets\TP2-L3-G3-20182\TP2-L3-G3-20182.WDP
,11/07/18,14:35:58,14:39:05,0:3:7,17,TEST_Comptoir,
,11/07/18,14:50:05,14:52:17,0:2:12,17,TEST_Comptoir,
,11/07/18,14:28:10,14:52:29,0:24:19,2,Comptoir,E:\Mes Projets\TP2-L3-G3-20182\Comptoir.wdw
,11/07/18,14:52:29,14:52:41,0:0:12,2,FEN_Table_Produits,E:\Mes Projets\TP2-L3-G3-20182\FEN_Table_Produits.wdw
,11/07/18,14:52:45,14:54:08,0:1:23,17,TEST_Table_Produits,
,11/07/18,14:52:43,14:54:09,0:1:26,2,FEN_Table_Produits,E:\Mes Projets\TP2-L3-G3-20182\FEN_Table_Produits.wdw
,11/07/18,14:54:10,14:55:30,0:1:20,17,TEST_Comptoir,
,11/07/18,14:54:09,14:55:32,0:1:23,2,Comptoir,E:\Mes Projets\TP2-L3-G3-20182\Comptoir.wdw
,11/07/18,14:55:38,15:02:22,0:6:44,2,FEN_Table_Produits,E:\Mes Projets\TP2-L3-G3-20182\FEN_Table_Produits.wdw
,11/07/18,14:52:40,15:02:22,0:9:42,2,FEN_Fiche_Produits,E:\Mes Projets\TP2-L3-G3-20182\FEN_Fiche_Produits.wdw
,11/07/18,15:02:23,15:03:27,0:1:4,2,Comptoir,E:\Mes Projets\TP2-L3-G3-20182\Comptoir.wdw
,11/07/18,15:27:12,15:27:36,0:0:24,2,Comptoir,E:\Mes Projets\TP2-L3-G3-20182\Comptoir.wdw
,11/07/18,15:27:46,15:27:57,0:0:11,2,Comptoir,E:\Mes Projets\TP2-L3-G3-20182\Comptoir.wdw
,11/07/18,15:38:47,15:40:50,0:2:3,2,Comptoir,E:\Mes Projets\TP2-L3-G3-20182\Comptoir.wdw
,11/14/18,14:17:09,14:20:16,0:3:7,17,TEST_Comptoir,
,11/14/18,14:20:33,14:33:50,0:13:17,17,TEST_Comptoir,
,11/14/18,14:17:05,14:33:52,0:16:47,2,Comptoir,E:\Mes Projets\TP2-L3-G3-20182\Comptoir.wdw
,11/14/18,14:42:22,14:42:33,0:0:11,2,Comptoir,E:\Mes Projets\TP2-L3-G3-20182\Comptoir.wdw
,11/14/18,14:43:02,14:46:28,0:3:26,2,Comptoir,E:\Mes Projets\TP2-L3-G3-20182\Comptoir.wdw
,11/14/18,14:47:35,14:50:56,0:3:21,17,TEST_Comptoir,
